currency,rate,date
SZL,3.014382,2024-11-30
THB,5.740212,2024-11-30
TJS,1.821046,2024-11-30
TMT,0.585838,2024-11-30
TND,0.525326,2024-11-30
TOP,0.392027,2024-11-30
TRY,5.807012,2024-11-30
TTD,1.132015,2024-11-30
TWD,5.432229,2024-11-30
TZS,441.053913,2024-11-30
UAH,6.94896,2024-11-30
UGX,616.542281,2024-11-30
USD,0.167382,2024-11-30
UYU,7.157142,2024-11-30
UZS,2147.142501,2024-11-30
VES,7.958699,2024-11-30
VND,4242.553281,2024-11-30
VUV,19.871953,2024-11-30
WST,0.467263,2024-11-30
XAF,103.751982,2024-11-30
XAG,0.005467,2024-11-30
XAU,6.3139869E-5,2024-11-30
XCD,0.452359,2024-11-30
XDR,0.1278,2024-11-30
XOF,103.751982,2024-11-30
XPF,18.86322,2024-11-30
YER,41.913107,2024-11-30
ZAR,3.023233,2024-11-30
ZMK,1506.641383,2024-11-30
ZMW,4.498323,2024-11-30
ZWL,53.897005,2024-11-30
SBD,1.402082,2024-12-01
SCR,2.388503,2024-12-01
SDG,100.680132,2024-12-01
SEK,1.830032,2024-12-01
SGD,0.224516,2024-12-01
SHP,0.132118,2024-12-01
SLE,3.807916,2024-12-01
SLL,3509.922314,2024-12-01
SOS,95.486556,2024-12-01
SRD,5.924753,2024-12-01
STD,3464.474069,2024-12-01
SVC,1.461797,2024-12-01
SYP,420.552833,2024-12-01
SZL,3.014383,2024-12-01
THB,5.752964,2024-12-01
TJS,1.821046,2024-12-01
TMT,0.585838,2024-12-01
TND,0.525326,2024-12-01
TOP,0.392026,2024-12-01
TRY,5.810387,2024-12-01
TTD,1.132015,2024-12-01
TWD,5.432222,2024-12-01
TZS,441.053937,2024-12-01
UAH,6.94896,2024-12-01
UGX,616.542315,2024-12-01
USD,0.167382,2024-12-01
UYU,7.157142,2024-12-01
UZS,2147.142617,2024-12-01
VES,7.9587,2024-12-01
VND,4242.553511,2024-12-01
VUV,19.871954,2024-12-01
WST,0.467263,2024-12-01
XAF,103.751987,2024-12-01
XAG,0.005491,2024-12-01
XAU,6.3251775E-5,2024-12-01
XCD,0.452359,2024-12-01
XDR,0.1278,2024-12-01
XOF,103.751987,2024-12-01
XPF,18.863221,2024-12-01
YER,41.911603,2024-12-01
ZAR,3.029619,2024-12-01
ZMK,1506.641596,2024-12-01
ZMW,4.498323,2024-12-01
ZWL,53.897007,2024-12-01
SBD,1.375738,2024-12-02
SCR,2.196159,2024-12-02
SDG,99.286385,2024-12-02
SEK,1.814065,2024-12-02
SGD,0.222,2024-12-02
SHP,0.130287,2024-12-02
SLE,3.764073,2024-12-02
SLL,3461.284107,2024-12-02
SOS,94.331128,2024-12-02
SRD,5.844054,2024-12-02
STD,3416.465654,2024-12-02
SVC,1.443686,2024-12-02
SYP,414.725087,2024-12-02
SZL,3.000871,2024-12-02
THB,5.695573,2024-12-02
TJS,1.798437,2024-12-02
TMT,0.57937,2024-12-02
TND,0.52127,2024-12-02
TOP,0.386594,2024-12-02
TRY,5.73617,2024-12-02
TTD,1.116494,2024-12-02
TWD,5.383653,2024-12-02
TZS,435.76559,2024-12-02
UAH,6.881762,2024-12-02
UGX,608.811665,2024-12-02
USD,0.165063,2024-12-02
UYU,7.122789,2024-12-02
UZS,2122.706957,2024-12-02
VES,7.868297,2024-12-02
VND,4188.797393,2024-12-02
VUV,19.596581,2024-12-02
WST,0.460788,2024-12-02
XAF,102.845861,2024-12-02
XAG,0.005395,2024-12-02
XAU,6.2474783E-5,2024-12-02
XCD,0.44609,2024-12-02
XDR,0.12557,2024-12-02
XOF,102.834104,2024-12-02
XPF,18.856741,2024-12-02
YER,41.331635,2024-12-02
ZAR,2.992902,2024-12-02
ZMK,1485.760721,2024-12-02
ZMW,4.442387,2024-12-02
ZWL,53.150138,2024-12-02
SBD,1.381159,2024-12-03
SCR,2.496353,2024-12-03
SDG,99.515559,2024-12-03
SEK,1.820598,2024-12-03
SGD,0.222498,2024-12-03
SHP,0.130582,2024-12-03
SLE,3.763657,2024-12-03
SLL,3469.129951,2024-12-03
SOS,94.547004,2024-12-03
SRD,5.853406,2024-12-03
STD,3424.209906,2024-12-03
SVC,1.448528,2024-12-03
SYP,415.665162,2024-12-03
SZL,2.992814,2024-12-03
THB,5.677822,2024-12-03
TJS,1.80442,2024-12-03
TMT,0.579029,2024-12-03
TND,0.521297,2024-12-03
TOP,0.387469,2024-12-03
TRY,5.749362,2024-12-03
TTD,1.12027,2024-12-03
TWD,5.377609,2024-12-03
TZS,435.926191,2024-12-03
UAH,6.912194,2024-12-03
UGX,609.140067,2024-12-03
USD,0.165437,2024-12-03
UYU,7.147285,2024-12-03
UZS,2123.382625,2024-12-03
VES,7.907099,2024-12-03
VND,4202.924557,2024-12-03
VUV,19.641002,2024-12-03
WST,0.461832,2024-12-03
XAF,103.195633,2024-12-03
XAG,0.005337,2024-12-03
XAU,6.2594009E-5,2024-12-03
XCD,0.447102,2024-12-03
XDR,0.12592,2024-12-03
XOF,102.901712,2024-12-03
XPF,18.81143,2024-12-03
YER,41.417107,2024-12-03
ZAR,2.998306,2024-12-03
ZMK,1489.130804,2024-12-03
ZMW,4.473844,2024-12-03
ZWL,53.270616,2024-12-03
SBD,1.385613,2024-12-04
SCR,2.489929,2024-12-04
SDG,99.581812,2024-12-04
SEK,1.808889,2024-12-04
SGD,0.222456,2024-12-04
SHP,0.130675,2024-12-04
SLE,3.78291,2024-12-04
SLL,3471.598072,2024-12-04
SOS,94.616809,2024-12-04
SRD,5.861466,2024-12-04
STD,3426.646069,2024-12-04
SVC,1.449602,2024-12-04
SYP,415.960888,2024-12-04
SZL,3.004869,2024-12-04
THB,5.669334,2024-12-04
TJS,1.808249,2024-12-04
TMT,0.581097,2024-12-04
TND,0.523816,2024-12-04
TOP,0.387745,2024-12-04
TRY,5.752437,2024-12-04
TTD,1.123799,2024-12-04
TWD,5.361404,2024-12-04
TZS,435.408635,2024-12-04
UAH,6.899419,2024-12-04
UGX,609.678224,2024-12-04
USD,0.165555,2024-12-04
UYU,7.15339,2024-12-04
UZS,2124.893291,2024-12-04
VES,7.955795,2024-12-04
VND,4206.742511,2024-12-04
VUV,19.654975,2024-12-04
WST,0.462161,2024-12-04
XAF,103.447105,2024-12-04
XAG,0.005284,2024-12-04
XAU,6.2460826E-5,2024-12-04
XCD,0.44742,2024-12-04
XDR,0.125985,2024-12-04
XOF,103.140565,2024-12-04
XPF,18.865023,2024-12-04
YER,41.454285,2024-12-04
ZAR,3.007155,2024-12-04
ZMK,1490.190467,2024-12-04
ZMW,4.485377,2024-12-04
ZWL,53.308515,2024-12-04
SBD,1.392182,2024-12-05
SCR,2.268773,2024-12-05
SDG,100.053461,2024-12-05
SEK,1.804826,2024-12-05
SGD,0.22266,2024-12-05
SHP,0.131295,2024-12-05
SLE,3.800826,2024-12-05
SLL,3488.057093,2024-12-05
SOS,95.061937,2024-12-05
SRD,5.871114,2024-12-05
STD,3442.89197,2024-12-05
SVC,1.456411,2024-12-05
SYP,417.93298,2024-12-05
SZL,3.019012,2024-12-05
THB,5.670852,2024-12-05
TJS,1.818499,2024-12-05
TMT,0.583852,2024-12-05
TND,0.522324,2024-12-05
TOP,0.389583,2024-12-05
TRY,5.784524,2024-12-05
TTD,1.127645,2024-12-05
TWD,5.372439,2024-12-05
TZS,435.809485,2024-12-05
UAH,6.920692,2024-12-05
UGX,610.747765,2024-12-05
USD,0.16634,2024-12-05
UYU,6.902113,2024-12-05
UZS,2134.967536,2024-12-05
VES,8.028534,2024-12-05
VND,4224.191797,2024-12-05
VUV,19.748161,2024-12-05
WST,0.464352,2024-12-05
XAF,103.626116,2024-12-05
XAG,0.005305,2024-12-05
XAU,6.3156549E-5,2024-12-05
XCD,0.449541,2024-12-05
XDR,0.126603,2024-12-05
XOF,103.629458,2024-12-05
XPF,18.95439,2024-12-05
YER,41.651734,2024-12-05
ZAR,2.998339,2024-12-05
ZMK,1497.25577,2024-12-05
ZMW,4.506588,2024-12-05
ZWL,53.561254,2024-12-05
SBD,1.376654,2024-12-06
SCR,2.312366,2024-12-06
SDG,98.772252,2024-12-06
SEK,1.795644,2024-12-06
SGD,0.220435,2024-12-06
SHP,0.129613,2024-12-06
SLE,3.744565,2024-12-06
SLL,3443.37915,2024-12-06
SOS,93.877093,2024-12-06
SRD,5.800357,2024-12-06
STD,3398.792539,2024-12-06
SVC,1.437212,2024-12-06
SYP,412.579745,2024-12-06
SZL,2.962458,2024-12-06
THB,5.594658,2024-12-06
TJS,1.790367,2024-12-06
TMT,0.574731,2024-12-06
TND,0.515637,2024-12-06
TOP,0.384594,2024-12-06
TRY,5.709227,2024-12-06
TTD,1.114238,2024-12-06
TWD,5.321929,2024-12-06
TZS,426.943176,2024-12-06
UAH,6.801939,2024-12-06
UGX,602.09617,2024-12-06
USD,0.164209,2024-12-06
UYU,7.113143,2024-12-06
UZS,2108.549942,2024-12-06
VES,8.001776,2024-12-06
VND,4168.853259,2024-12-06
VUV,19.49521,2024-12-06
WST,0.458404,2024-12-06
XAF,101.767206,2024-12-06
XAG,0.0053,2024-12-06
XAU,6.2366649E-5,2024-12-06
XCD,0.443783,2024-12-06
XDR,0.124937,2024-12-06
XOF,101.764802,2024-12-06
XPF,18.50193,2024-12-06
YER,41.109756,2024-12-06
ZAR,2.959942,2024-12-06
ZMK,1478.077672,2024-12-06
ZMW,4.473396,2024-12-06
ZWL,52.875196,2024-12-06
SBD,1.376654,2024-12-07
SCR,2.466231,2024-12-07
SDG,98.772252,2024-12-07
SEK,1.795644,2024-12-07
SGD,0.220451,2024-12-07
SHP,0.129613,2024-12-07
SLE,3.744565,2024-12-07
SLL,3443.37915,2024-12-07
SOS,93.955653,2024-12-07
SRD,5.800357,2024-12-07
STD,3398.792539,2024-12-07
SVC,1.438448,2024-12-07
SYP,412.579745,2024-12-07
SZL,2.964937,2024-12-07
THB,5.596902,2024-12-07
TJS,1.791865,2024-12-07
TMT,0.574731,2024-12-07
TND,0.516081,2024-12-07
TOP,0.384594,2024-12-07
TRY,5.709227,2024-12-07
TTD,1.11517,2024-12-07
TWD,5.321929,2024-12-07
TZS,427.435336,2024-12-07
UAH,6.807631,2024-12-07
UGX,602.614261,2024-12-07
USD,0.164209,2024-12-07
UYU,7.119264,2024-12-07
UZS,2110.314461,2024-12-07
VES,8.001776,2024-12-07
VND,4168.853259,2024-12-07
VUV,19.49521,2024-12-07
WST,0.458404,2024-12-07
XAF,101.852369,2024-12-07
XAG,0.0053,2024-12-07
XAU,6.2358478E-5,2024-12-07
XCD,0.443783,2024-12-07
XDR,0.125041,2024-12-07
XOF,101.852369,2024-12-07
XPF,18.51785,2024-12-07
YER,41.109756,2024-12-07
ZAR,2.959942,2024-12-07
ZMK,1478.077672,2024-12-07
ZMW,4.47714,2024-12-07
ZWL,52.875196,2024-12-07
SBD,1.376654,2024-12-08
SCR,2.466231,2024-12-08
SDG,98.766087,2024-12-08
SEK,1.794788,2024-12-08
SGD,0.220244,2024-12-08
SHP,0.129613,2024-12-08
SLE,3.744058,2024-12-08
SLL,3443.378917,2024-12-08
SOS,93.955647,2024-12-08
SRD,5.800347,2024-12-08
STD,3398.792309,2024-12-08
SVC,1.438448,2024-12-08
SYP,412.579718,2024-12-08
SZL,2.964936,2024-12-08
THB,5.592544,2024-12-08
TJS,1.791865,2024-12-08
TMT,0.574731,2024-12-08
TND,0.516081,2024-12-08
TOP,0.384594,2024-12-08
TRY,5.714379,2024-12-08
TTD,1.11517,2024-12-08
TWD,5.321928,2024-12-08
TZS,427.435307,2024-12-08
UAH,6.807631,2024-12-08
UGX,602.61422,2024-12-08
USD,0.164209,2024-12-08
UYU,7.119264,2024-12-08
UZS,2110.314318,2024-12-08
VES,8.001776,2024-12-08
VND,4168.852977,2024-12-08
VUV,19.495208,2024-12-08
WST,0.458404,2024-12-08
XAF,101.852362,2024-12-08
XAG,0.005286,2024-12-08
XAU,6.2224611E-5,2024-12-08
XCD,0.443783,2024-12-08
XDR,0.125041,2024-12-08
XOF,101.852362,2024-12-08
XPF,18.517849,2024-12-08
YER,41.109628,2024-12-08
ZAR,2.9592,2024-12-08
ZMK,1478.077159,2024-12-08
ZMW,4.47714,2024-12-08
ZWL,52.875193,2024-12-08
SBD,1.379305,2024-12-09
SCR,2.247088,2024-12-09
SDG,98.961452,2024-12-09
SEK,1.795197,2024-12-09
SGD,0.220536,2024-12-09
SHP,0.129862,2024-12-09
SLE,3.750665,2024-12-09
SLL,3450.009359,2024-12-09
SOS,94.162209,2024-12-09
SRD,5.816538,2024-12-09
STD,3405.336897,2024-12-09
SVC,1.441756,2024-12-09
SYP,413.374166,2024-12-09
SZL,2.939451,2024-12-09
THB,5.557738,2024-12-09
TJS,1.795974,2024-12-09
TMT,0.577483,2024-12-09
TND,0.521511,2024-12-09
TOP,0.385334,2024-12-09
TRY,5.731156,2024-12-09
TTD,1.117797,2024-12-09
TWD,5.328276,2024-12-09
TZS,428.391283,2024-12-09
UAH,6.849085,2024-12-09
UGX,603.482846,2024-12-09
USD,0.164525,2024-12-09
UYU,7.161974,2024-12-09
UZS,2119.13748,2024-12-09
VES,8.030198,2024-12-09
VND,4175.646427,2024-12-09
VUV,19.532748,2024-12-09
WST,0.459287,2024-12-09
XAF,102.262186,2024-12-09
XAG,0.005157,2024-12-09
XAU,6.1839327E-5,2024-12-09
XCD,0.444637,2024-12-09
XDR,0.125046,2024-12-09
XOF,102.262186,2024-12-09
XPF,18.592536,2024-12-09
YER,41.192964,2024-12-09
ZAR,2.925781,2024-12-09
ZMK,1480.923438,2024-12-09
ZMW,4.494063,2024-12-09
ZWL,52.977007,2024-12-09
SBD,1.384124,2024-12-10
SCR,2.366003,2024-12-10
SDG,99.474236,2024-12-10
SEK,1.813175,2024-12-10
SGD,0.221819,2024-12-10
SHP,0.130535,2024-12-10
SLE,3.769724,2024-12-10
SLL,3467.869372,2024-12-10
SOS,94.5126,2024-12-10
SRD,5.821932,2024-12-10
STD,3422.96565,2024-12-10
SVC,1.447876,2024-12-10
SYP,415.514122,2024-12-10
SZL,2.938662,2024-12-10
THB,5.577335,2024-12-10
TJS,1.803536,2024-12-10
TMT,0.580473,2024-12-10
TND,0.521351,2024-12-10
TOP,0.387329,2024-12-10
TRY,5.765495,2024-12-10
TTD,1.122938,2024-12-10
TWD,5.381163,2024-12-10
TZS,411.788238,2024-12-10
UAH,6.897817,2024-12-10
UGX,605.866722,2024-12-10
USD,0.165377,2024-12-10
UYU,7.207306,2024-12-10
UZS,2130.315639,2024-12-10
VES,8.111703,2024-12-10
VND,4194.782268,2024-12-10
VUV,19.633865,2024-12-10
WST,0.461664,2024-12-10
XAF,103.059641,2024-12-10
XAG,0.005183,2024-12-10
XAU,6.1350414E-5,2024-12-10
XCD,0.446939,2024-12-10
XDR,0.125569,2024-12-10
XOF,103.066985,2024-12-10
XPF,18.738502,2024-12-10
YER,41.406213,2024-12-10
ZAR,2.946402,2024-12-10
ZMK,1488.589576,2024-12-10
ZMW,4.554468,2024-12-10
ZWL,53.251259,2024-12-10
SBD,1.407815,2024-12-11
SCR,2.366514,2024-12-11
SDG,101.007227,2024-12-11
SEK,1.841744,2024-12-11
SGD,0.22555,2024-12-11
SHP,0.132547,2024-12-11
SLE,3.82655,2024-12-11
SLL,3521.321006,2024-12-11
SOS,95.968676,2024-12-11
SRD,5.911824,2024-12-11
STD,3475.725165,2024-12-11
SVC,1.467786,2024-12-11
SYP,421.918604,2024-12-11
SZL,2.988911,2024-12-11
THB,5.680911,2024-12-11
TJS,1.833418,2024-12-11
TMT,0.58942,2024-12-11
TND,0.530184,2024-12-11
TOP,0.393298,2024-12-11
TRY,5.854462,2024-12-11
TTD,1.138477,2024-12-11
TWD,5.457723,2024-12-11
TZS,398.823829,2024-12-11
UAH,7.004356,2024-12-11
UGX,613.708348,2024-12-11
USD,0.167926,2024-12-11
UYU,7.337991,2024-12-11
UZS,2157.960164,2024-12-11
VES,8.297899,2024-12-11
VND,4263.636241,2024-12-11
VUV,19.936489,2024-12-11
WST,0.46878,2024-12-11
XAF,104.757117,2024-12-11
XAG,0.005257,2024-12-11
XAU,6.1733798E-5,2024-12-11
XCD,0.453828,2024-12-11
XDR,0.127294,2024-12-11
XOF,104.752136,2024-12-11
XPF,19.04524,2024-12-11
YER,42.044418,2024-12-11
ZAR,2.971609,2024-12-11
ZMK,1511.535971,2024-12-11
ZMW,4.617121,2024-12-11
ZWL,54.072041,2024-12-11
SBD,1.397818,2024-12-12
SCR,2.351229,2024-12-12
SDG,100.289645,2024-12-12
SEK,1.836539,2024-12-12
SGD,0.22454,2024-12-12
SHP,0.131605,2024-12-12
SLE,3.802586,2024-12-12
SLL,3496.315692,2024-12-12
SOS,95.346095,2024-12-12
SRD,5.86485,2024-12-12
STD,3451.043633,2024-12-12
SVC,1.459995,2024-12-12
SYP,418.922511,2024-12-12
SZL,2.944895,2024-12-12
THB,5.657212,2024-12-12
TJS,1.818602,2024-12-12
TMT,0.585234,2024-12-12
TND,0.526706,2024-12-12
TOP,0.390507,2024-12-12
TRY,5.827597,2024-12-12
TTD,1.132822,2024-12-12
TWD,5.414838,2024-12-12
TZS,395.991676,2024-12-12
UAH,6.949021,2024-12-12
UGX,610.176341,2024-12-12
USD,0.166733,2024-12-12
UYU,7.349154,2024-12-12
UZS,2145.607193,2024-12-12
VES,8.310744,2024-12-12
VND,4234.36006,2024-12-12
VUV,19.794918,2024-12-12
WST,0.465451,2024-12-12
XAF,104.207468,2024-12-12
XAG,0.005395,2024-12-12
XAU,6.2195137E-5,2024-12-12
XCD,0.450605,2024-12-12
XDR,0.126609,2024-12-12
XOF,104.210446,2024-12-12
XPF,18.946213,2024-12-12
YER,41.745861,2024-12-12
ZAR,2.966303,2024-12-12
ZMK,1500.8002,2024-12-12
ZMW,4.6091,2024-12-12
ZWL,53.688069,2024-12-12
SBD,1.387454,2024-12-13
SCR,2.307901,2024-12-13
SDG,99.547077,2024-12-13
SEK,1.816484,2024-12-13
SGD,0.223207,2024-12-13
SHP,0.131071,2024-12-13
SLE,3.773939,2024-12-13
SLL,3470.39066,2024-12-13
SOS,94.530985,2024-12-13
SRD,5.82633,2024-12-13
STD,3425.45457,2024-12-13
SVC,1.447484,2024-12-13
SYP,415.816316,2024-12-13
SZL,2.966699,2024-12-13
THB,5.645165,2024-12-13
TJS,1.807207,2024-12-13
TMT,0.580895,2024-12-13
TND,0.523211,2024-12-13
TOP,0.387611,2024-12-13
TRY,5.783335,2024-12-13
TTD,1.122901,2024-12-13
TWD,5.380856,2024-12-13
TZS,394.502249,2024-12-13
UAH,6.892503,2024-12-13
UGX,603.244017,2024-12-13
USD,0.165497,2024-12-13
UYU,7.35255,2024-12-13
UZS,2127.381984,2024-12-13
VES,8.319346,2024-12-13
VND,4204.452275,2024-12-13
VUV,19.64814,2024-12-13
WST,0.457233,2024-12-13
XAF,103.450553,2024-12-13
XAG,0.005412,2024-12-13
XAU,6.2453598E-5,2024-12-13
XCD,0.447264,2024-12-13
XDR,0.125537,2024-12-13
XOF,103.452525,2024-12-13
XPF,18.808776,2024-12-13
YER,41.436327,2024-12-13
ZAR,2.955712,2024-12-13
ZMK,1489.672541,2024-12-13
ZMW,4.573887,2024-12-13
ZWL,53.289979,2024-12-13
SBD,1.387454,2024-12-14
SCR,2.495757,2024-12-14
SDG,99.547077,2024-12-14
SEK,1.817175,2024-12-14
SGD,0.22314,2024-12-14
SHP,0.131071,2024-12-14
SLE,3.773939,2024-12-14
SLL,3470.39066,2024-12-14
SOS,94.407733,2024-12-14
SRD,5.82633,2024-12-14
STD,3425.45457,2024-12-14
SVC,1.445569,2024-12-14
SYP,415.816316,2024-12-14
SZL,2.962803,2024-12-14
THB,5.650737,2024-12-14
TJS,1.804851,2024-12-14
TMT,0.580895,2024-12-14
TND,0.522519,2024-12-14
TOP,0.387611,2024-12-14
TRY,5.7833,2024-12-14
TTD,1.121427,2024-12-14
TWD,5.380856,2024-12-14
TZS,392.357529,2024-12-14
UAH,6.883385,2024-12-14
UGX,602.451748,2024-12-14
USD,0.165497,2024-12-14
UYU,7.342824,2024-12-14
UZS,2124.567746,2024-12-14
VES,8.319346,2024-12-14
VND,4204.452275,2024-12-14
VUV,19.64814,2024-12-14
WST,0.457233,2024-12-14
XAF,103.315671,2024-12-14
XAG,0.005412,2024-12-14
XAU,6.248956E-5,2024-12-14
XCD,0.447264,2024-12-14
XDR,0.125373,2024-12-14
XOF,103.315671,2024-12-14
XPF,18.783894,2024-12-14
YER,41.436327,2024-12-14
ZAR,2.954912,2024-12-14
ZMK,1489.672541,2024-12-14
ZMW,4.567923,2024-12-14
ZWL,53.289979,2024-12-14
SBD,1.387454,2024-12-15
SCR,2.49571,2024-12-15
SDG,99.546431,2024-12-15
SEK,1.817504,2024-12-15
SGD,0.223122,2024-12-15
SHP,0.131071,2024-12-15
SLE,3.773981,2024-12-15
SLL,3470.391933,2024-12-15
SOS,94.407767,2024-12-15
SRD,5.826328,2024-12-15
STD,3425.455826,2024-12-15
SVC,1.44557,2024-12-15
SYP,415.816468,2024-12-15
SZL,2.962804,2024-12-15
THB,5.645104,2024-12-15
TJS,1.804852,2024-12-15
TMT,0.580895,2024-12-15
TND,0.522519,2024-12-15
TOP,0.387611,2024-12-15
TRY,5.785568,2024-12-15
TTD,1.121427,2024-12-15
TWD,5.380856,2024-12-15
TZS,392.357673,2024-12-15
UAH,6.883388,2024-12-15
UGX,602.451969,2024-12-15
USD,0.165497,2024-12-15
UYU,7.342826,2024-12-15
UZS,2124.568525,2024-12-15
VES,8.319349,2024-12-15
VND,4204.453818,2024-12-15
VUV,19.648147,2024-12-15
WST,0.457233,2024-12-15
XAF,103.315709,2024-12-15
XAG,0.00541,2024-12-15
XAU,6.2415229E-5,2024-12-15
XCD,0.447264,2024-12-15
XDR,0.125373,2024-12-15
XOF,103.315709,2024-12-15
XPF,18.783901,2024-12-15
YER,41.436338,2024-12-15
ZAR,2.956289,2024-12-15
ZMK,1489.672197,2024-12-15
ZMW,4.567925,2024-12-15
ZWL,53.289999,2024-12-15
SBD,1.363446,2024-12-16
SCR,2.277796,2024-12-16
SDG,97.823479,2024-12-16
SEK,1.769465,2024-12-16
SGD,0.219442,2024-12-16
SHP,0.128803,2024-12-16
SLE,3.70754,2024-12-16
SLL,3410.342103,2024-12-16
SOS,92.878055,2024-12-16
SRD,5.725503,2024-12-16
STD,3366.183547,2024-12-16
SVC,1.422065,2024-12-16
SYP,408.6214,2024-12-16
SZL,2.908578,2024-12-16
THB,5.539702,2024-12-16
TJS,1.771513,2024-12-16
TMT,0.570843,2024-12-16
TND,0.515897,2024-12-16
TOP,0.380904,2024-12-16
TRY,5.685361,2024-12-16
TTD,1.103692,2024-12-16
TWD,5.271893,2024-12-16
TZS,379.749088,2024-12-16
UAH,6.789564,2024-12-16
UGX,593.211132,2024-12-16
USD,0.162633,2024-12-16
UYU,7.199405,2024-12-16
UZS,2092.583639,2024-12-16
VES,8.181703,2024-12-16
VND,4130.075834,2024-12-16
VUV,19.308166,2024-12-16
WST,0.449322,2024-12-16
